default_alias,official_name,model_size_info,model_type,cfg_model_name,n_params_str,n_params,n_layers,n_heads,d_model,d_vocab,act_fn,positional_embedding_type,parallel_attn_mlp,original_architecture
gpt2-small,gpt2,,gpt2,gpt2,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
gpt2-medium,gpt2-medium,,gpt2,gpt2-medium,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
gpt2-large,gpt2-large,,gpt2,gpt2-large,708M,707788800,36,20,1280,50257,gelu_new,standard,False,GPT2LMHeadModel
gpt2-xl,gpt2-xl,,gpt2,gpt2-xl,1.5B,1474560000,48,25,1600,50257,gelu_new,standard,False,GPT2LMHeadModel
distillgpt2,distilgpt2,,gpt2,distilgpt2,42M,42467328,6,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
opt-125m,facebook/opt-125m,125m,opt,opt-125m,85M,84934656,12,12,768,50272,relu,standard,False,OPTForCausalLM
opt-1.3b,facebook/opt-1.3b,1.3b,opt,opt-1.3b,1.2B,1207959552,24,32,2048,50272,relu,standard,False,OPTForCausalLM
opt-2.7b,facebook/opt-2.7b,2.7b,opt,opt-2.7b,2.5B,2516582400,32,32,2560,50272,relu,standard,False,OPTForCausalLM
opt-6.7b,facebook/opt-6.7b,6.7b,opt,opt-6.7b,6.4B,6442450944,32,32,4096,50272,relu,standard,False,OPTForCausalLM
opt-13b,facebook/opt-13b,13b,opt,opt-13b,13B,12582912000,40,40,5120,50272,relu,standard,False,OPTForCausalLM
opt-30b,facebook/opt-30b,30b,opt,opt-30b,30B,29595009024,48,56,7168,50272,relu,standard,False,OPTForCausalLM
opt-66b,facebook/opt-66b,66b,opt,opt-66b,65B,65229815808,64,72,9216,50272,relu,standard,False,OPTForCausalLM
gpt-neo-125M,,125M,gpt-neo,gpt-neo-125M,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPTNeoForCausalLM
gpt-neo-1.3B,,1.3B,gpt-neo,gpt-neo-1.3B,1.2B,1207959552,24,16,2048,50257,gelu_new,standard,False,GPTNeoForCausalLM
gpt-neo-2.7B,,2.7B,gpt-neo,gpt-neo-2.7B,2.5B,2516582400,32,20,2560,50257,gelu_new,standard,False,GPTNeoForCausalLM
gpt-j-6B,,6B,gpt-j,gpt-j-6B,5.6B,5637144576,28,16,4096,50400,gelu_new,rotary,True,GPTJForCausalLM
gpt-neox-20b,EleutherAI/gpt-neox-20b,20b,gpt-neo,gpt-neox-20b,20B,19931332608,44,64,6144,50432,gelu_fast,rotary,True,GPTNeoXForCausalLM
stanford-gpt2-small-a,stanford-crfm/alias-gpt2-small-x21,,gpt2,alias-gpt2-small-x21,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-small-b,stanford-crfm/battlestar-gpt2-small-x49,,gpt2,battlestar-gpt2-small-x49,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-small-c,stanford-crfm/caprica-gpt2-small-x81,,gpt2,caprica-gpt2-small-x81,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-small-d,stanford-crfm/darkmatter-gpt2-small-x343,,gpt2,darkmatter-gpt2-small-x343,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-small-e,stanford-crfm/expanse-gpt2-small-x777,,gpt2,expanse-gpt2-small-x777,85M,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-medium-a,stanford-crfm/arwen-gpt2-medium-x21,,gpt2,arwen-gpt2-medium-x21,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-medium-b,stanford-crfm/beren-gpt2-medium-x49,,gpt2,beren-gpt2-medium-x49,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
stanford-gpt2-medium-c,stanford-crfm/celebrimbor-gpt2-medium-x81,,gpt2,celebrimbor-gpt2-medium-x81,302M,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel
